channel_info,followers,total_likes,total_likes_num,country
kyliejenner,366.2m,57.4b,57400000000.0,United States
cristiano,475.8m,29.0b,29000000000.0,Spain
zendaya,150.7m,20.6b,20600000000.0,United States
kimkardashian,329.2m,19.9b,19900000000.0,United States
arianagrande,327.7m,18.4b,18400000000.0,United States
badgalriri,135.3m,17.9b,17900000000.0,United States
neymarjr,177.1m,14.1b,14100000000.0,Brazil
justinbieber,254.5m,13.9b,13900000000.0,Canada
nickiminaj,201.6m,13.5b,13500000000.0,United States
therock,334.1m,12.5b,12500000000.0,United States
fcbarcelona,111.4m,11.6b,11600000000.0,
selenagomez,342.7m,11.5b,11500000000.0,United States
karolg,55.6m,10.1b,10100000000.0,India
khloekardashian,268.3m,9.8b,9800000000.0,United States
maluma,62.8m,9.8b,9800000000.0,Colombia
travisscott,46.2m,9.6b,9600000000.0,United States
champagnepapi,119.6m,9.0b,9000000000.0,Netherlands
433,51.2m,8.9b,8900000000.0,Netherlands
jbalvin,52.8m,8.8b,8800000000.0,
shawnmendes,69.9m,8.8b,8800000000.0,Canada
